Site,UniqueID,Site list,Map Tool Grade Levels,Geographic Region,Construction Year,decade,Square Feet,FCI,FCI Rating,Current Utilization,Utilization Categories,2023-2024,Outdoor spaces ,Add 1 Year,Add 1 Area,Add 2 Year,Add 2 Area,Add 3 Year,Add 3 Area,Add 4 Year,Add 4 Area,Add 5 Year,Add 5 Area,Addition area,Number of additions,Available Acreage
217,21246c58,Whittier,Elementary School,East,1959,1950,"18,396",0.37,Poor,175.31%,High,142,"Age-appropriate playground, Hardscape surface",2005,31171,0,0,0,0,0,0,0,0,31171,1,3.039
289,fa1d6e56,Ninety-Fifth,Elementary School,Northwest,1953,1950,"49,049",0.035,Great,167.59%,High,424,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom",1956,0,0,0,0,0,0,0,0,0,0,0,4.996
268,f8c07d61,Maryland Montessori,K-8,East,1887,1880,"47,345",0.014,Great,154.19%,High,515,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom, Edible Garden",1897,0,1951,0,2013,2500,0,0,2016,0,2500,1,3.857
202,acfe2f24,Greenfield,K-8,Southwest,1922,1920,"69,540",0.01,Great,153.74%,High,555,"Age-appropriate playground, Hardscape surface",2003,7440,0,0,0,0,0,0,0,0,7440,1,2.09
176,3bc4e6d0,Bay View Montessori - Lower,Elementary School,East,1936,1930,"37,732",0.038,Great,151.69%,High,179,"Age-appropriate playground, Basketball court, Soccer, Hardscape surface, Outdoor classroom",1915,0,0,0,0,0,0,0,0,0,0,0,1.324
60,05efd46d,Reagan HS,High School,Southwest,1964,1960,"182,959",0.095,Good,151.40%,High,1349,,0,0,0,0,0,0,0,0,0,0,0,0,11.536
117,38a97352,Cooper,K-8,East,1965,1960,"48,421",0.007,Great,149.51%,High,459,"Age-appropriate playground, Basketball court, Baseball field, Tennis court, Soccer, Softball, Outdoor track, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,4.627
122,daa3fb14,Curtin,K-8,Southwest,1954,1950,"49,647",0.026,Great,142.21%,High,283,"Age-appropriate playground, Basketball court, Multi-sport Court (ex. tennis + Volley + basketball etc), Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,6.717
257,9a2b4f59,Lowell,Elementary School,Southwest,1960,1960,"28,187",0.329,Poor,142.07%,High,206,"Age-appropriate playground, Basketball court, Grass field, Tennis court, Softball, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,4.777
223,c58927b4,Humboldt,K-8,East,1929,1920,"77,700",0.153,Fair,138.59%,High,589,"Age-appropriate playground, Basketball court, Softball, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,3.664
155,4ac824aa,Fairview,K-8,Southwest,1955,1950,"69,033",0.226,Fair,138.02%,High,628,"Age-appropriate playground, Basketball court, Baseball field, Grass field, Soccer, Softball, Volleyball, Hardscape surface, Outdoor classroom",1959,0,0,0,0,0,0,0,0,0,0,0,4.971
211,2.59E+12,Hawley,Elementary School,Central,1905,1900,"40,047",0.052,Good,137.50%,High,297,"Age-appropriate playground, Basketball court, Baseball field, Hardscape surface, Edible Garden",0,0,0,0,0,0,0,0,0,0,0,0,2.026
277,33d92403,Morgandale,K-8,Southwest,1932,1930,"84,050",0.028,Great,136.00%,High,578,"Age-appropriate playground, Basketball court, Multi-sport Field, Hardscape surface",0,0,0,0,0,0,0,0,0,0,0,0,2.894
95,868ba53f,Burbank,K-8,Central,1930,1930,"99,685",0.003,Great,129.64%,High,503,"Age-appropriate playground, Basketball court, Baseball field, Grass field, Softball, Hardscape surface, Outdoor classroom",2005,12733,0,0,0,0,0,0,0,0,12733,1,3.623
41,018d637e,Audubon MS,Middle School,Southwest,1959,1950,0,1,,127.64%,High,,"Basketball court, Baseball field, Tennis court, Soccer, Softball, Outdoor track, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,6.873
334,83a1d775,Honey Creek,Elementary School,Southwest,1954,1950,"44,192",0.113,Fair,126.43%,High,354,"Age-appropriate playground, Basketball court, Baseball field, Grass field, Volleyball, Hardscape surface, Edible Garden",0,0,0,0,0,0,0,0,0,0,0,0,4.227
191,7fb8834d,IDEAL,K-8,East,1967,1960,"31,950",0.162,Fair,125.58%,High,216,"Age-appropriate playground, Basketball court, Grass field, Soccer, Softball, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,4.572
